scenario_type,difficulty,seed,total_reward,root_cause_accuracy,process_quality,damage_audit,boss_score,primary_reward,buddy_reward,step_count,policy
memory_leak,medium,114008,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114009,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114010,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114011,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114012,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114013,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114014,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114015,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114016,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
memory_leak,medium,114017,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115000,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115001,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115002,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115003,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115004,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115005,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115006,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115007,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115008,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115009,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115010,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115011,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115012,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115013,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115014,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115015,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115016,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
connection_pool_exhaustion,medium,115017,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116000,1.02,1.0,0.895,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116001,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116002,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116003,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116004,1.02,1.0,0.895,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116005,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116006,1.02,1.0,0.895,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116007,1.02,1.0,0.895,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116008,1.02,1.0,0.895,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116009,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116010,1.02,1.0,0.895,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116011,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116012,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116013,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116014,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116015,1.02,1.0,0.895,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116016,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
cascading_retry_storm,medium,116017,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
config_drift,medium,117000,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
config_drift,medium,117001,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
config_drift,medium,117002,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
config_drift,medium,117003,1.02,1.0,0.925,1.0,1.0,1.0,1.0,0,expert (scripted)
